date,home_team,away_team,home_score,away_score,tournament,country,neutral,resultado,home_code,away_code
2018-06-16,Argentina,Iceland,1,1,World Cup,Russia,True,0,2,28
2018-06-16,Denmark,Peru,1,0,World Cup,Russia,True,1,19,44
2018-06-17,Serbia,Costa Rica,1,0,World Cup,Russia,True,1,53,15
2018-06-17,Mexico,Germany,1,0,World Cup,Russia,True,1,35,24
2018-06-17,Brazil,Switzerland,1,1,World Cup,Russia,True,0,8,62
2018-06-18,Sweden,South Korea,1,0,World Cup,Russia,True,1,61,58
2018-06-18,England,Tunisia,2,1,World Cup,Russia,True,1,22,65
2018-06-18,Belgium,Panama,3,0,World Cup,Russia,True,1,5,42
2018-06-19,Japan,Colombia,2,1,World Cup,Russia,True,1,34,14
2018-06-19,Russia,Egypt,3,1,World Cup,Russia,False,1,49,21
2018-06-19,Senegal,Poland,2,1,World Cup,Russia,True,1,52,45
2018-06-20,Spain,Iran,1,0,World Cup,Russia,True,1,60,29
